PH_ID	IRGSP_best_BLAST_hit	description
PH01000029G0650	Os01t0805800-02	DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative, expressed
PH01000029G0660	Os01t0805900-01	tubulin/FtsZ domain containing protein, putative, expressed
PH01000029G0710	Os01t0806200-01	OsFBX27 - F-box domain containing protein, expressed
PH01000029G0960	Os01t0807900-01	dihydropyrimidinase, putative, expressed
PH01000029G0970	Os01t0808100-01	transcription factor, putative, expressed
PH01000029G1150	not found	transcription factor, putative, expressed
PH01000029G1280	Os01t0809900-01	FAD dependent oxidoreductase domain containing protein, expressed
PH01000029G1290	Os01t0810100-02	chloroplast ribonuclease III domain protein, putative, expressed
PH01000029G1330	Os01t0810200-01	cupin, RmlC-type, putative, expressed
PH01000029G1340	Os05t0491100-02	serine hydrolase domain containing protein, expressed
PH01000029G1610	Os02t0754000-02	TLD family protein, putative, expressed
PH01000029G1680	Os10t0140900-00	KAZ1 - Kazal-type serine protease inhibitor precursor, expressed
PH01000029G1730	Os01t0811300-01	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1, putative, expressed
PH01000029G1740	Os01t0811400-01	exostosin family domain containing protein, expressed
PH01000029G1950	Os01t0812000-02	MYB family transcription factor, putative, expressed
PH01000029G1970	Os01t0812050-00	expressed_protein
PH01000029G1980	Os01t0812100-01	NHL25, putative, expressed
PH01000029G1990	Os06t0713000-01	B-box zinc finger family protein, putative, expressed
PH01000029G2070	Os01t0813100-00	bZIP transcription factor, putative, expressed
PH01000029G2160	Os05t0489600-03	ADP-ribosylation factor, putative, expressed
PH01000029G2170	Os01t0813500-01	EAP30/Vps36 family domain containing protein, expressed
PH01000029G2180	Os04t0486500-01	EAP30/Vps36 family domain containing protein, expressed
PH01000029G2250	Os01t0813900-01	GTPase-activating protein, putative, expressed
PH01000029G2270	Os01t0814000-01	expressed_protein
PH01000029G2300	Os01t0814100-01	LTPL65 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
PH01000029G2370	Os05t0489000-01	endonuclease/exonuclease/phosphatase family domain containing protein, expressed
PH01000029G2380	Os01t0814300-01	pentatricopeptide, putative, expressed
PH01000029G2390	Os01t0814400-01	expressed_protein
PH01000029G2400	Os06t0537500-00	expressed_protein
PH01000029G2440	Os05t0488500-01	pentatricopeptide repeat-containing protein, putative, expressed
PH01000029G2510	Os04t0286300-01	pentatricopeptide repeat-containing protein, putative, expressed
PH01000029G2540	Os01t0815700-01	zinc finger family protein, putative, expressed
PH01000030G0050	Os04t0594100-01	MYB family transcription factor, putative, expressed
PH01000030G0070	Os04t0593500-00	pathogenesis-related Bet v I family protein, putative
PH01000030G0210	Os04t0592700-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000030G0260	Os04t0592600-01	SNARE associated Golgi protein, putative, expressed
PH01000030G0270	Os04t0592500-01	phosphoenolpyruvate carboxykinase, putative, expressed
PH01000030G0390	Os06t0184300-02	ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed
PH01000030G0430	Os04t0591300-01	expressed_protein
PH01000030G0460	Os04t0591100-01	zinc-binding protein, putative, expressed
PH01000030G0550	Os04t0591000-01	RNA recognition motif containing protein, putative, expressed
PH01000030G0570	Os02t0691500-01	helix-loop-helix DNA-binding protein, putative
PH01000030G0670	Os12t0583400-01	expressed_protein
PH01000030G0890	Os04t0589900-03	AT hook motif domain containing protein, expressed
PH01000030G1000	Os04t0589700-01	U-box, putative, expressed
PH01000030G1020	Os04t0589600-01	glycosyl transferase, group 1 domain containing protein, expressed
PH01000030G1080	Os04t0588700-01	ABC transporter family protein, putative, expressed
PH01000030G1170	Os04t0588200-00	DNA2 - Putative DNA replication helicase 2 protein, expressed
PH01000030G1240	Os04t0587500-01	purine permease, putative, expressed
PH01000030G1340	Os04t0586500-01	FERONIA receptor-like kinase, putative, expressed
PH01000030G1420	Os04t0586100-01	DUF581 domain containing protein
PH01000030G1490	Os04t0586000-00	DUF581 domain containing protein, expressed
PH01000030G1580	Os04t0585700-01	DUF581 domain containing protein, expressed
PH01000030G1730	Os09t0474800-02	phosphatidylinositol 3- and 4-kinase family protein, putative, expressed
PH01000030G1770	Os08t0487800-01	heat shock protein, putative, expressed
PH01000030G1780	Os09t0474100-01	helix-loop-helix DNA-binding domain containing protein, expressed
PH01000030G1800	Os09t0474051-01	hypothetical_protein
PH01000030G2230	Os09t0471100-01	peroxidase precursor, putative, expressed
PH01000030G2390	Os09t0470900-01	AGAP005770-PA, putative, expressed
PH01000031G0250	Os01t0900800-01	helix-loop-helix DNA-binding domain containing protein, expressed
PH01000031G0260	Os01t0900900-01	OTU-like cysteine protease family protein, putative, expressed
PH01000031G0270	Os01t0901000-01	armadillo/beta-catenin repeat family protein, putative, expressed
PH01000031G0300	Os01t0901200-01	recA protein, putative, expressed
PH01000031G0320	Os12t0190000-01	VTC2, putative, expressed
PH01000031G0380	Os01t0901600-01	AMP-binding domain containing protein, expressed
PH01000031G0390	Os01t0901700-01	FAD binding domain containing protein, expressed
PH01000031G0410	Os01t0901900-01	PDE312/PTAC10, putative, expressed
PH01000031G0480	Os01t0902100-00	multidrug resistance-associated protein, putative, expressed
PH01000031G0500	Os01t0902300-01	CXE carboxylesterase, putative, expressed
PH01000031G0520	Os01t0902700-01	peptide transporter PTR2, putative, expressed
PH01000031G0750	Os07t0167100-01	glutamine-dependent NAD, putative, expressed
PH01000031G0760	Os07t0167100-01	glutamine-dependent NAD, putative, expressed
PH01000031G0840	Os01t0904200-01	ABC1 family domain containing protein, putative, expressed
PH01000031G0910	Os01t0904400-01	chromosome segregation protein, putative, expressed
PH01000031G0970	Os01t0904500-01	expressed_protein
PH01000031G1000	Os01t0904700-01	two-component response regulator, putative, expressed
PH01000031G1210	Os01t0905800-03	fructose-bisphospate aldolase isozyme, putative, expressed
PH01000031G1220	Os01t0906000-01	expressed_protein
PH01000031G1260	Os01t0906200-01	vacuolar protein sorting-associated protein 53, putative, expressed
PH01000031G1370	Os01t0906600-01	tetratricopeptide repeat domain containing protein, expressed
PH01000031G1410	Os07t0602700-01	receptor-like protein kinase precursor, putative, expressed
PH01000031G1420	Os01t0907400-01	ZOS1-20 - C2H2 zinc finger protein, expressed
PH01000031G1690	Os01t0908100-01	TBC domain containing protein, expressed
PH01000031G1740	Os01t0908200-01	BTBZ2 - Bric-a-Brac, Tramtrack, and Broad Complex BTB domain with TAZ zinc finger and Calmodulin-binding domains, expressed
PH01000031G1760	Os01t0908500-01	CorA-like magnesium transporter protein, putative, expressed
PH01000031G1840	Os01t0908700-01	copine, putative, expressed
PH01000031G1890	Os01t0909000-00	harpin-induced protein 1 domain containing protein
PH01000031G1980	Os01t0909400-01	expressed_protein
PH01000031G2080	Os02t0297600-02	lysine ketoglutarate reductase trans-splicing related 1, putative, expressed
PH01000031G2220	Os01t0910800-00	lysine ketoglutarate reductase trans-splicing related 1, putative, expressed
PH01000031G2300	Os01t0910900-01	expressed_protein
PH01000031G2350	Os01t0911100-01	DEAD-box ATP-dependent RNA helicase 30, putative, expressed
PH01000031G2360	Os01t0911200-01	dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDasubunit precursor, putative, expressed
PH01000031G2370	Os01t0911300-01	antigen peptide transporter-like 1, chloroplast precursor, putative, expressed
PH01000031G2430	Os01t0911800-01	expressed_protein
PH01000031G2510	Os01t0912600-01	expressed_protein
PH01000031G2530	Os01t0912700-01	expressed_protein
PH01000032G0070	Os01t0784800-01	NADPH-dependent FMN reductase domain containing protein, expressed
PH01000032G0100	Os04t0631600-01	bHelix-loop-helix transcription factor, putative, expressed
PH01000032G0330	Os01t0785700-02	pentatricopeptide containing protein, putative, expressed
PH01000032G0410	Os01t0785900-02	ZOS1-12 - C2H2 zinc finger protein, expressed
PH01000032G0530	Os01t0786900-01	expressed_protein
PH01000032G0550	Os01t0787000-01	peroxidase precursor, putative, expressed
PH01000032G0710	Os01t0787600-01	OsPOP4 - Putative Prolyl Oligopeptidase homologue, expressed
PH01000032G0720	Os01t0788200-01	nuclear transport factor, putative, expressed
PH01000032G0810	Os01t0788400-01	pectinesterase, putative, expressed
PH01000032G0820	Os01t0788400-01	pectinesterase, putative, expressed
PH01000032G0890	Os01t0788700-00	plastocyanin-like domain containing protein, putative, expressed
PH01000032G0980	Os03t0115200-01	KH domain containing protein, putative, expressed
PH01000032G1030	Os01t0788500-01	disease resistance protein RPS2, putative, expressed
PH01000032G1240	Os01t0793200-01	membrane-associated salt-inducible protein, putative, expressed
PH01000032G1300	Os01t0846600-01	methyltransferase, putative, expressed
PH01000032G1340	Os01t0793500-01	expressed_protein
PH01000032G1420	Os01t0794100-01	expressed_protein
PH01000032G1450	Os04t0625000-01	expressed_protein
PH01000032G1490	Os01t0794400-01	protein disulfide isomerase, putative, expressed
PH01000032G1530	Os01t0794800-01	OsSub6 - Putative Subtilisin homologue, expressed
PH01000032G1630	Os01t0796400-01	3-hydroxybutyryl-CoA dehydrogenase, putative, expressed
PH01000032G1640	Os01t0796500-01	haloacid dehalogenase, putative, expressed
PH01000032G1740	Os01t0797600-01	AP2 domain containing protein, expressed
PH01000032G1860	Os11t0446000-01	transcription factor-related, putative, expressed
PH01000032G1870	Os01t0798500-02	expressed_protein
PH01000032G1990	Os01t0798800-01	expressed_protein
PH01000032G2010	Os01t0799000-00	disease resistance protein, putative, expressed
PH01000032G2080	Os01t0799100-01	NB-ARC/LRR disease resistance protein, putative, expressed
PH01000032G2110	Os01t0799500-01	methyladenine glycosylase, putative, expressed
PH01000032G2150	Os01t0799900-01	ICE-like protease p20 domain containing protein, putative, expressed
PH01000032G2590	Os01t0801000-01	apurinic endonuclease-redox protein, putative, expressed
PH01000032G2670	Os01t0801200-02	expressed_protein
PH01000032G2690	Os01t0801500-01	glycosyl hydrolases family 17, putative, expressed
PH01000032G2710	Os01t0801700-01	expressed_protein
PH01000033G0120	Os01t0194200-01	IQ calmodulin-binding motif family protein, putative
PH01000033G0230	Os06t0342100-01	signal recognition particle 19 kDa protein, putative, expressed
PH01000033G0270	Os06t0342200-01	eukaryotic translation initiation factor 1A, putative, expressed
PH01000033G0310	Os06t0342500-01	KH domain containing protein, putative, expressed
PH01000033G0440	Os06t0342750-01	KH domain containing protein, putative, expressed
PH01000033G0730	Os05t0295900-01	hypothetical_protein
PH01000033G0840	Os06t0343900-01	expressed_protein
PH01000033G1420	Os05t0123100-01	glycosyltransferase family 43 protein, putative, expressed
PH01000033G1510	Os06t0252300-01	glycosyltransferase family 43 protein, putative, expressed
PH01000033G1580	Os03t0286800-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000033G1700	Os03t0286500-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000033G1790	Os03t0285800-02	CGMC_MAPKCGMC_2_ERK.2 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
PH01000033G1800	Os03t0285700-01	OsAPx1 - Cytosolic Ascorbate Peroxidase encoding gene 1-8, expressed
PH01000033G1890	Os02t0190300-01	multidrug resistance protein, putative, expressed
PH01000033G1930	Os03t0284900-02	PPR repeat domain containing protein, putative, expressed
PH01000033G1960	Os03t0284500-01	cat eye syndrome critical region protein 5 precursor, putative, expressed
PH01000033G1970	Os02t0499300-01	cat eye syndrome critical region protein 5 precursor, putative, expressed
PH01000033G2090	Os03t0284100-01	response regulator receiver domain containing protein, expressed
PH01000033G2110	Os03t0284100-01	response regulator receiver domain containing protein, expressed
PH01000033G2130	Os03t0284000-00	expressed_protein
PH01000033G2170	Os01t0835000-01	TBC domain containing protein, expressed
PH01000033G2190	Os01t0835000-01	TBC domain containing protein, expressed
PH01000033G2260	Os03t0283500-01	pentatricopeptide, putative, expressed
PH01000033G2290	Os03t0283400-01	expressed_protein
PH01000033G2300	Os03t0283300-01	expressed_protein
PH01000033G2380	Os03t0283000-00	IN2-1 protein, putative, expressed
PH01000033G2440	Os03t0282300-00	expressed_protein
PH01000033G2450	Os06t0484500-01	expressed_protein
PH01000034G0070	Os09t0444200-01	lecithine cholesterol acyltransferase, putative, expressed
PH01000034G0340	Os02t0752800-02	ethylene-responsive transcription factor, putative, expressed
PH01000034G0680	Os06t0223700-01	DUF581 domain containing protein, expressed
PH01000034G0840	Os06t0223800-01	expressed_protein
PH01000034G0990	Os02t0750600-01	membrane-anchored ubiquitin-fold protein, putative, expressed
PH01000034G1010	Os06t0224200-01	glutaredoxin domain containing protein, putative, expressed
PH01000034G1030	Os11t0246100-01	mTERF family protein, expressed
PH01000034G1040	Os11t0206600-02	mTERF family protein, expressed
PH01000034G1060	Os06t0224500-01	mTERF family protein, expressed
PH01000034G1070	Os02t0170000-02	pentatricopeptide containing protein, putative, expressed
PH01000034G1230	Os06t0224400-01	mTERF family protein, expressed
PH01000034G1340	Os06t0224650-01	mTERF family protein, expressed
PH01000034G1380	Os06t0224650-01	mTERF family protein, expressed
PH01000034G1470	Os06t0225300-02	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed
PH01000034G1730	Os06t0225800-01	shikimate kinase, putative, expressed
PH01000034G2110	Os02t0747400-01	TCP-domain protein, putative, expressed
PH01000034G2180	Os06t0227200-02	N-rich protein, putative, expressed
PH01000035G0280	Os04t0473400-01	60S ribosomal protein L6, putative, expressed
PH01000035G0290	Os04t0472900-01	anthranilate phosphoribosyltransferase, putative, expressed
PH01000035G0350	Os04t0472500-00	receptor protein kinase CLAVATA1 precursor, putative, expressed
PH01000035G0370	Os08t0504600-01	RNA recognition motif containing protein, putative, expressed
PH01000035G0470	Os05t0150500-00	OsFBL21 - F-box domain and LRR containing protein, expressed
PH01000035G0490	Os04t0472300-01	glycerophosphoryl diester phosphodiesterase family protein, putative, expressed
PH01000035G0560	Os04t0471700-00	OsWRKY30 - Superfamily of TFs having WRKY and zinc finger domains, expressed
PH01000035G0620	Os04t0471400-01	expressed_protein
PH01000035G0630	Os04t0471300-01	expressed_protein
PH01000035G0710	Os02t0586400-01	ras-related protein, putative, expressed
PH01000035G0830	Os04t0469800-01	cytochrome P450, putative, expressed
PH01000035G1280	Os04t0467700-01	CAF1 family ribonuclease containing protein, putative, expressed
PH01000035G1400	Os04t0467100-01	expressed_protein
PH01000035G1510	Os04t0466700-01	expressed_protein
PH01000035G1520	Os02t0581300-01	ASC1, putative, expressed
PH01000035G1530	Os04t0466600-01	agmatine deiminase, putative, expressed
PH01000035G1640	Os04t0465800-02	expressed_protein
PH01000035G1650	Os04t0465700-01	RNA-dependent RNA polymerase, putative, expressed
PH01000035G1760	Os04t0465600-01	pathogenesis-related Bet v I family protein, putative, expressed
PH01000035G1780	Os04t0465500-02	acetyltransferase, GNAT family, putative, expressed
PH01000035G1800	Os04t0465432-00	hypothetical_protein
PH01000035G1890	Os04t0465000-01	SAM domain containing protein, putative, expressed
PH01000035G1950	Os02t0109200-01	SAM domain containing protein, putative, expressed
PH01000035G2060	Os04t0464600-01	ZOS4-07 - C2H2 zinc finger protein, expressed
PH01000035G2160	Os04t0463800-01	pentatricopeptide, putative, expressed
PH01000035G2170	Os04t0463700-02	protein binding protein, putative, expressed
PH01000035G2280	Os04t0463500-01	class I glutamine amidotransferase, putative, expressed
PH01000035G2370	Os04t0463400-01	integral membrane protein, putative, expressed
PH01000035G2440	Os04t0463200-01	DUF593 domain containing protein, expressed
PH01000036G0080	Os02t0799700-01	serine-rich protein, putative, expressed
PH01000036G0110	Os02t0800100-01	proteasome maturation factor UMP1 family protein, expressed
PH01000036G0220	Os02t0802200-01	heparanase-like protein precursor, putative, expressed
PH01000036G0260	Os08t0299400-01	monogalactosyldiacylglycerol synthase, putative, expressed
PH01000036G0300	Os05t0504800-01	expressed_protein
PH01000036G0320	Os02t0803200-01	ribosomal protein S15 containing protein, expressed
PH01000036G0350	Os02t0803400-01	vacuolar protein sorting 55 family protein, putative, expressed
PH01000036G0470	Os02t0804300-01	methyltransferase, putative, expressed
PH01000036G0540	Os02t0804500-01	chaperone protein dnaJ, putative, expressed
PH01000036G0620	Os06t0170500-02	RNA-binding motif protein, putative, expressed
PH01000036G0640	Os03t0737800-01	RNA-binding motif protein, putative, expressed
PH01000036G0650	Os02t0804900-01	ribonucleoside-diphosphate reductase large subunit, putative, expressed
PH01000036G0680	Os02t0804900-01	ribonucleoside-diphosphate reductase large subunit, putative, expressed
PH01000036G0740	Os06t0167100-01	AP-1 complex subunit gamma-1, putative, expressed
PH01000036G1110	Os02t0806400-02	GATA zinc finger domain containing protein, expressed
PH01000036G1140	Os02t0806600-03	ENTH domain containing protein, expressed
PH01000036G1180	Os02t0806700-01	zinc finger family protein, putative, expressed
PH01000036G1230	Os02t0807000-01	calcium-dependent protein kinase isoform AK1, putative, expressed
PH01000036G1260	Os03t0183100-02	rho termination factor, N-terminal domain containing protein, expressed
PH01000036G1460	Os02t0810500-01	TBC domain containing protein, expressed
PH01000036G1480	Os02t0810400-01	CK1_CaseinKinase_1.6 - CK1 includes the casein kinase 1 kinases, expressed
PH01000036G1560	Os02t0810300-01	ABC transporter, ATP-binding protein, putative, expressed
PH01000036G1580	Os02t0810100-00	ankyrin repeat domain containing protein, expressed
PH01000036G1590	Os02t0809900-01	expressed_protein
PH01000036G1600	Os02t0809800-01	phosphate transporter 1, putative, expressed
PH01000036G1710	Os02t0809100-00	PB1 domain containing protein, expressed
PH01000036G1820	Os02t0812400-01	translation initiation factor eIF-2B subunit epsilon, putative, expressed
PH01000036G1830	Os02t0812500-01	OsFBX65 - F-box domain containing protein, expressed
PH01000036G1850	Os02t0813350-01	OsFBX70 - F-box domain containing protein, expressed
PH01000036G1880	Os02t0813350-01	OsFBX70 - F-box domain containing protein, expressed
PH01000036G1930	Os02t0813600-01	3-ketoacyl-CoA synthase, putative, expressed
PH01000036G2010	Os02t0813800-01	transcriptional corepressor LEUNIG, putative, expressed
PH01000036G2040	Os02t0814600-01	expressed_protein
PH01000036G2060	Os03t0139100-00	ribosomal protein, putative, expressed
PH01000036G2070	Os02t0814800-01	uncharacterized protein yqjG, putative, expressed
PH01000036G2080	Os02t0814900-00	cytidylyltransferase domain containing protein, expressed
PH01000036G2090	Os02t0815000-00	ribosomal protein L37, putative, expressed
PH01000036G2140	Os02t0815200-01	RNA recognition motif containing protein, putative, expressed
PH01000036G2220	Os02t0815900-01	serine/threonine-protein kinase, putative, expressed
PH01000037G0050	Os04t0654700-02	COP9 signalosome complex subunit 5b, putative, expressed
PH01000037G0130	Os04t0654600-01	protein kinase domain containing protein, expressed
PH01000037G0250	Os04t0653400-01	NADPH reductase, putative, expressed
PH01000037G0330	Os04t0653200-01	sodium/calcium exchanger protein, putative, expressed
PH01000037G0340	Os04t0653100-01	expressed_protein
PH01000037G0430	Os04t0652900-01	peptidyl-tRNA hydrolase, putative, expressed
PH01000037G0480	Os04t0652500-00	expressed_protein
PH01000037G0560	Os01t0211800-01	bZIP transcription factor domain containing protein, expressed
PH01000037G0650	Os01t0210700-01	potassium channel KAT1, putative, expressed
PH01000037G0690	Os01t0210600-02	DUF538 domain containing protein, putative, expressed
PH01000037G0740	Os01t0210500-01	SOUL heme-binding protein, putative, expressed
PH01000037G0830	Os01t0210300-01	expressed_protein
PH01000037G0880	not found	expressed_protein
PH01000037G1230	Os01t0209400-01	CID11, putative, expressed
PH01000037G1240	Os02t0505066-00	CID11, putative, expressed
PH01000037G1260	Os04t0636300-01	CID11, putative, expressed
PH01000037G1270	Os01t0209200-01	14-3-3 protein, putative, expressed
PH01000037G1490	not found	14-3-3 protein, putative, expressed
PH01000037G1560	Os11t0177400-01	ABC-2 type transporter domain containing protein, expressed
PH01000037G2010	Os11t0178800-01	dirigent, putative, expressed
PH01000037G2080	Os11t0490200-00	receptor kinase, putative, expressed
PH01000037G2100	Os11t0176100-01	RNA recognition motif containing protein, putative, expressed
PH01000038G0030	Os03t0179000-01	tubulin--tyrosine ligase-like protein 12, putative, expressed
PH01000038G0170	Os03t0179900-01	lipoxygenase protein, putative, expressed
PH01000038G0270	Os03t0180000-00	sodium/calcium exchanger protein, putative, expressed
PH01000038G0320	Os03t0180300-02	ataxin-2 C-terminal region family protein, expressed
PH01000038G0330	Os03t0180400-01	peptidase, T1 family, putative, expressed
PH01000038G0390	Os03t0180700-01	glycosyl transferase, group 1 domain containing protein, expressed
PH01000038G0470	Os03t0180900-01	ZIM domain containing protein, putative, expressed
PH01000038G0510	Os03t0181100-02	ZIM domain containing protein, putative, expressed
PH01000038G0550	Os11t0544300-01	ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed
PH01000038G0560	Os03t0181500-01	3-ketoacyl-CoA synthase 10, putative, expressed
PH01000038G0590	Os03t0181800-01	expressed_protein
PH01000038G0730	Os03t0182400-01	SAC domain containing protein, putative, expressed
PH01000038G0780	Os03t0182600-02	ribosomal protein S2, putative, expressed
PH01000038G0790	Os03t0182700-02	eukaryotic translation initiation factor 3 subunit K, putative, expressed
PH01000038G0840	Os03t0182800-01	AP2 domain containing protein, expressed
PH01000038G0930	Os03t0183300-01	AP2 domain containing protein, expressed
PH01000038G0990	Os03t0183800-01	STRUBBELIG-RECEPTOR FAMILY 6 precursor, putative, expressed
PH01000038G1140	Os06t0314000-01	paramyosin, putative, expressed
PH01000038G1330	Os03t0184500-01	B3 DNA binding domain containing protein, expressed
PH01000038G1340	Os03t0184550-01	dihydroflavonol-4-reductase, putative, expressed
PH01000038G1400	Os03t0185500-01	expressed_protein
PH01000038G1530	Os03t0186500-01	expressed_protein
PH01000038G1550	Os03t0186600-01	OsMADS47 - MADS-box family gene with MIKCc type-box, expressed
PH01000038G1600	Os03t0186900-01	aspartic proteinase nepenthesin precursor, putative, expressed
PH01000038G1650	Os03t0187000-01	expressed_protein
PH01000038G1730	Os03t0187100-00	expressed_protein
PH01000038G1750	Os03t0187300-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000038G1830	Os02t0759700-01	AUXIN SIGNALING F-BOX 2, putative, expressed
PH01000038G1840	Os03t0187600-01	GRAM domain containing protein, expressed
PH01000038G1850	Os03t0187700-01	expressed_protein
PH01000038G2070	Os03t0188400-01	helix-loop-helix DNA-binding protein, putative, expressed
PH01000038G2100	not found	helix-loop-helix DNA-binding protein, putative, expressed
PH01000038G2120	Os03t0188900-01	homeobox associated leucine zipper, putative, expressed
PH01000038G2180	Os03t0189100-01	expressed_protein
PH01000038G2210	Os03t0189600-02	dehydrogenase, putative, expressed
PH01000039G0180	Os12t0610200-01	helix-loop-helix DNA-binding domain containing protein, expressed
PH01000039G0390	Os03t0639700-01	recA protein, putative, expressed
PH01000039G0450	Os03t0640000-00	PLA IIIA/PLP7, putative, expressed
PH01000039G0530	Os03t0640100-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000039G0640	Os03t0640800-01	START domain containing protein, expressed
PH01000039G0720	Os07t0173501-00	ribosomal protein S13p/S18e, putative, expressed
PH01000039G0760	Os03t0625900-01	expressed_protein
PH01000039G0790	Os04t0583266-00	amino acid permease family protein, putative
PH01000039G0870	Os12t0613250-00	BTBN8 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
PH01000039G0930	Os12t0613300-02	single myb histone, putative, expressed
PH01000039G1360	Os10t0569200-01	eukaryotic translation initiation factor 3 subunit B, putative, expressed
PH01000039G1370	Os10t0569200-01	eukaryotic translation initiation factor 3 subunit B, putative, expressed
PH01000039G1570	Os03t0643300-01	eukaryotic translation initiation factor 3 subunit B, putative, expressed
PH01000039G1720	Os12t0616900-01	transketolase, putative, expressed
PH01000039G1740	Os12t0617100-01	initiation factor 2 subunit family domain containing protein, expressed
PH01000040G0020	Os03t0844600-01	GDSL-like lipase/acylhydrolase, putative, expressed
PH01000040G0080	Os03t0844100-01	protein kinase, putative, expressed
PH01000040G0090	Os03t0843900-01	hypothetical_protein
PH01000040G0140	Os03t0843500-02	RNA-binding protein Luc7-like, putative, expressed
PH01000040G0150	Os03t0843400-01	ribosomal protein S6, putative, expressed
PH01000040G0160	Os03t0843300-02	late embryogenesis abundant protein, putative, expressed
PH01000040G0210	Os03t0842700-03	vacuolar sorting protein, putative, expressed
PH01000040G0270	Os03t0841800-01	CGMC_GSK.5 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
PH01000040G0280	Os03t0841700-02	prohibitin-2, putative, expressed
PH01000040G0360	Os04t0278000-01	H-BTB2 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed
PH01000040G0370	Os03t0840200-02	WD40-like Beta Propeller Repeat family protein, expressed
PH01000040G0430	Os03t0839900-02	protein kinase family protein, putative, expressed
PH01000040G0490	Os03t0839100-01	FAD binding domain containing protein, expressed
PH01000040G0510	Os03t0838800-00	ZOS3-24 - C2H2 zinc finger protein, expressed
PH01000040G0590	Os03t0837900-01	cyclase/dehydrase family protein, expressed
PH01000040G0610	Os03t0837800-01	expressed_protein
PH01000040G0670	Os03t0837100-01	CESA5 - cellulose synthase, expressed
PH01000040G0690	Os07t0249600-02	mRNA-decapping enzyme, putative, expressed
PH01000040G0790	Os03t0836200-03	glycine-rich RNA-binding protein 7, putative, expressed
PH01000040G0830	Os03t0835900-01	2Fe-2S iron-sulfur cluster binding domain containing protein, expressed
PH01000040G0870	Os03t0835600-01	ACBP4, putative, expressed
PH01000040G0880	Os03t0835400-01	electron transfer flavoprotein subunit alpha, mitochondrial precursor, putative, expressed
PH01000040G0890	Os01t0235850-00	electron transfer flavoprotein subunit alpha, mitochondrial precursor, putative, expressed
PH01000040G0970	Os03t0835100-00	chloroplast protein import component Toc159, putative, expressed
PH01000040G1070	Os03t0833800-01	polygalacturonase, putative, expressed
PH01000040G1100	Os03t0833700-01	RNA 3-terminal phosphate cyclase, putative, expressed
PH01000040G1230	Os03t0833300-02	OsSPL6 - SBP-box gene family member, expressed
PH01000040G1240	Os03t0833100-01	sex determination protein tasselseed-2, putative, expressed
PH01000040G1260	Os03t0832600-01	GHMP kinases ATP-binding protein, putative, expressed
PH01000040G1350	Os03t0855700-01	GHMP kinases ATP-binding protein, putative, expressed
PH01000040G1360	Os03t0832400-01	protein phosphatase 2C, putative, expressed
PH01000040G1370	Os03t0832300-01	huntingtin-interacting protein HYPK, putative, expressed
PH01000040G1380	Os03t0832200-01	calreticulin precursor, putative, expressed
PH01000040G1390	Os03t0831900-01	ZOS3-23 - C2H2 zinc finger protein, expressed
PH01000040G1410	Os03t0831800-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000040G1430	Os03t0831800-01	WD domain, G-beta repeat domain containing protein, expressed
PH01000040G1440	Os03t0831700-01	expressed_protein
PH01000040G1480	Os03t0831500-01	phosphoribosylformylglycinamidine synthase, putative, expressed
PH01000040G1560	Os03t0831200-01	expressed_protein
PH01000040G1590	Os03t0831100-01	expressed_protein
PH01000040G1680	Os03t0829200-02	hydrolase, alpha/beta fold family domain containing protein, expressed
PH01000040G1720	Os03t0829000-03	fumarylacetoacetase, putative, expressed
PH01000040G1760	Os03t0828100-02	ribosomal L18p/L5e family protein, putative, expressed
PH01000040G1880	Os03t0827700-01	DEAD-box ATP-dependent RNA helicase 3, putative, expressed
PH01000040G1920	Os03t0827600-02	domain of unknown function domain containing protein, expressed
PH01000040G2000	Os03t0826600-01	phosphoesterase family protein, putative, expressed
PH01000040G2010	Os04t0397000-01	defender against cell death 1, putative, expressed
PH01000040G2030	Os03t0826500-01	anthranilate synthase component I-1, chloroplast precursor, putative, expressed
PH01000040G2040	Os03t0826400-01	RNA-binding motif protein, putative, expressed
PH01000040G2070	Os07t0243150-01	RNA-binding motif protein, putative, expressed
PH01000040G2090	Os03t0825800-01	protein kinase domain containing protein, expressed
PH01000040G2100	Os03t0825700-01	FG-GAP repeat-containing protein, putative, expressed
PH01000040G2170	Os03t0825300-03	protein kinase family protein, putative, expressed
