ID	SAM_mean	YIN_mean	MIN_mean	YNO_mean	MNO_mean
PH01000122G1780	2.11	4.98	5.29	6.09	3.9
PH01000122G1830	3.05	6.62	6.02	7.57	2.3
PH01000123G0060	1.46	2.19	1.84	2.22	1.79
PH01000123G0110	9.07	6.98	21.95	11.72	26.57
PH01000123G0150	18.03	8.23	28.75	14.96	11.53
PH01000123G0160	1.81	1.63	1.1	0.71	0.91
PH01000123G0190	17.35	11.61	23.43	12.2	29.07
PH01000123G0310	9	11.7	14.48	17.35	11.15
PH01000123G0400	2.47	2.06	10.02	2.86	9.27
PH01000123G0470	3.93	2.09	3.23	0.5	4.34
PH01000123G0740	3.41	1.66	1.36	0.55	2.87
PH01000123G0830	0.88	0.59	0.67	0.86	1.73
PH01000123G0910	1.45	3.4	4.13	3.88	1.71
PH01000123G0940	4.22	3.5	6.02	4.16	5.95
PH01000123G1050	47.73	41.4	39.42	54.68	128.18
PH01000123G1070	4.75	6.85	18.65	11.45	17.28
PH01000123G1080	1.95	1.55	3.07	2.44	4.52
PH01000123G1100	2.91	4.55	6.37	1.73	2.88
PH01000123G1110	60.37	49.4	119.36	14.18	138.19
PH01000123G1240	0	0	0.17	0.22	0.26
PH01000123G1290	7.7	9.61	13.09	6.54	0.15
PH01000123G1360	5.91	8.15	2.93	6.39	6.31
PH01000123G1400	2.18	4.11	2	1.43	5.94
PH01000123G1430	19.99	13.79	13.49	8.38	15.22
PH01000123G1480	1.47	1.44	1.88	2.48	3.02
PH01000123G1510	24.6	15.64	18.21	24.36	10.95
PH01000124G0130	0.94	0.84	3.03	1.47	3.34
PH01000124G0140	5.1	3.65	0.76	7.48	4.12
PH01000124G0260	0.75	1.09	0.82	0.66	0.89
PH01000124G0270	0.12	0.67	0.91	0.77	1.59
PH01000124G0280	0.54	0.86	1.16	1.42	0.56
PH01000124G0300	0.99	0.89	1.94	15.59	8.85
PH01000124G0470	10.75	8.22	4.89	6.02	8.48
PH01000124G0510	7.36	2.81	4.8	3.4	3.92
PH01000124G0660	32.59	21.44	24.18	6.63	18.98
PH01000124G0720	8.61	5.88	4.88	10.36	9.26
PH01000124G0860	1	1.53	4.34	1.86	21.6
PH01000124G0870	0.27	0.5	1.47	1.6	0.98
PH01000124G1110	13.52	7.15	8.53	10.5	20.96
PH01000124G1120	1	1.49	1.63	1.07	1.93
PH01000124G1200	1.04	1.34	3.98	3.27	3.16
PH01000124G1430	36.35	17.03	13.5	23.16	18.92
PH01000124G1450	2.72	0.88	0.9	1.61	2.67
PH01000125G0720	1.66	2.58	6.46	3.84	4.81
PH01000125G0760	5.66	4.27	8.55	10.32	17.03
PH01000125G0770	1.2	1.65	4.14	0.71	7.83
PH01000125G0830	39.4	81.78	59.74	83.89	101.02
PH01000125G0950	12.18	11.16	13.9	13.87	4.78
PH01000125G1100	48.44	19.6	33.37	37.09	61.97
PH01000125G1160	0.55	0.2	0.26	0.28	0.07
PH01000125G1170	2.97	6.81	11.41	8.25	15.41
PH01000125G1190	6.33	6.58	10.18	8.31	15.34
PH01000125G1210	4.54	2.98	6.98	4.31	10.09
PH01000125G1220	2.65	1.29	5.62	4.97	5.76
PH01000125G1420	636.69	202.01	415.06	654.34	1286.32
PH01000125G1510	0.82	2.93	1.43	1.17	1.57
PH01000125G1550	4.39	9.03	8.99	8.3	3.02
PH01000126G0310	16.82	3.43	7.33	6.94	7.29
PH01000126G0380	5.72	2.46	3.77	7.1	7.8
PH01000126G0460	1.34	3	2.79	0.84	0.97
PH01000126G0480	4.16	0.82	5.6	3.29	2.85
PH01000126G0610	1.88	1.81	7.53	2.65	1.02
PH01000126G0800	4.71	1.9	2.69	3.07	3.83
PH01000126G0810	7.59	3.25	2.21	5.75	4.42
PH01000126G1470	5.12	8.99	5.44	18.18	36.67
PH01000126G1510	17.13	14.73	25.74	32.93	26.23
PH01000127G0210	0.81	2.07	3.04	0.17	0.24
PH01000127G0320	1.33	0.57	1.61	1.85	3.94
PH01000127G0420	5.66	1.95	11.37	8.95	42.34
PH01000127G0540	39.64	17.29	40.35	74.91	36.06
PH01000127G0790	1.85	1.16	1.91	2.5	3.1
PH01000127G0800	2.19	1.67	2.81	1.68	3.76
PH01000127G0920	0.55	0.8	1.75	1.94	6.25
PH01000127G0940	1.27	2.77	4.32	6.1	19.78
PH01000127G1010	8.6	5.52	8.43	4.86	0.67
PH01000127G1100	0.39	0.67	2.75	1.46	2.52
PH01000127G1300	0.31	0.82	0.25	0.09	0
PH01000128G0090	1.24	2.66	2.17	1.59	1.84
PH01000128G0410	1.84	2.71	2.51	1.81	1.97
PH01000128G0540	0.99	0.4	0.74	0	0
PH01000128G0650	3.2	5.18	4.87	14.46	6.54
PH01000128G0770	2.42	0.96	0.68	0.35	0.17
PH01000128G1000	2.59	1.63	1.62	1.78	6.46
PH01000128G1150	0.3	0.58	0.44	0.54	1.08
PH01000128G1160	2.01	2.28	2.81	3.19	1.44
PH01000128G1190	6.21	3.45	4.43	4.46	7.05
PH01000129G0040	4.14	3.22	5.29	3.41	6.92
PH01000129G0140	1.4	2	2.12	3.4	7.77
PH01000129G0220	3.19	0.75	0.74	0.66	0.31
PH01000129G0300	1.37	0.48	0.83	0.22	1.51
PH01000129G0320	2.7	1.64	0.8	1.81	1.68
PH01000129G0360	3.36	2.28	15.34	20.61	10.04
PH01000129G0410	4.09	1.25	1.7	1.49	0.73
PH01000129G0530	2.4	1.4	1.01	1.8	4.89
PH01000129G0560	0.64	0.3	0.49	0	0
PH01000129G0650	2.37	2.21	1.97	2.45	1.13
PH01000129G0670	3.81	2.71	4.57	11.87	6.31
PH01000129G0750	29.05	14.37	9.05	17.39	5.6
PH01000129G0800	0.51	0.61	0.31	1.02	0.08
PH01000129G0820	8.99	10.33	24.18	15.44	28
PH01000129G0840	3.5	2.21	3.65	6.22	3.29
PH01000129G0940	0.12	0.81	7.91	0.09	0.31
PH01000129G1000	0.11	0.14	0.37	0.24	0.06
PH01000129G1010	1.76	0.83	13.11	5.27	5.68
PH01000129G1060	20.39	15.3	11.43	15.4	13.33
PH01000129G1260	1.5	1.11	0.93	1.42	0.4
PH01000129G1320	10.35	7.51	10.6	9.9	2.51
PH01000129G1330	4.69	2.3	1.86	3.91	3.6
PH01000129G1370	8.87	7.98	8.33	9.92	2.11
PH01000129G1380	12.46	11.62	15.02	8.67	4.9
PH01000129G1420	24.58	18.03	59.52	50.51	41.33
PH01000129G1430	5.04	3.61	12.37	8.69	10.33
PH01000130G0100	1.03	0.54	1.25	2.64	2.81
PH01000130G0110	6.69	3.07	8.75	6.23	9.38
PH01000130G0230	0.46	0.84	1.08	0.57	0.4
PH01000130G0300	0.47	0.36	0.45	0.42	0.68
PH01000130G0310	2.69	2.7	2.75	2.54	0.95
PH01000130G0370	2.11	1.1	2.01	0.68	0.72
PH01000130G0430	0.28	2.31	8.14	0	0.58
PH01000130G0620	0.18	0.13	0.27	0.58	1.19
PH01000130G0820	33.87	178.08	615.61	237.24	192.93
PH01000130G0880	1.69	1.49	1.44	1.29	1.87
PH01000130G0930	4.15	3.26	0.76	4.08	0.57
PH01000130G1030	4.67	4.77	2.69	7.91	2.25
PH01000130G1040	1.09	0.51	5.16	4.36	1.6
PH01000130G1090	1.76	3.94	5.05	2.02	5.12
PH01000130G1140	11.72	7.57	26.39	26.17	20.24
PH01000130G1150	5.19	2.65	1.2	4.6	6.21
PH01000130G1160	2.58	1.13	2.99	1.33	1.7
PH01000130G1350	4.78	2.89	4.18	12.11	9.64
PH01000130G1470	2.6	2.13	4.67	2.96	4.48
PH01000130G1500	0.12	0.36	1.61	0.76	7.6
PH01000130G1510	0.46	0.57	5.23	1.57	11.5
PH01000130G1610	0.07	0.1	2.68	0.34	14.26
PH01000131G0110	2.24	4	10.3	5.68	5.87
PH01000131G0280	26.82	10.34	24.32	15.18	19.93
PH01000131G0310	2.09	1.85	17.33	2.41	5.79
PH01000131G0320	0.33	0.84	7.17	0.81	3.36
PH01000131G0360	1.6	0.94	0.65	1.12	0.8
PH01000131G0390	5.67	5.79	5.9	5.91	1.65
PH01000131G0760	8.6	8.03	5.95	7.11	5.2
PH01000131G0770	36.91	16.55	5.78	38.09	10.91
PH01000131G0820	4.09	2.25	3.3	4.5	3.4
PH01000131G0830	36.09	27.28	33	38.55	31.57
PH01000131G0860	2.51	0.55	1.14	1.98	0.96
PH01000131G0920	26.98	27.56	58.76	52.97	77.01
PH01000131G0930	2.67	0.41	1.3	4.03	1.21
PH01000131G0970	52.83	50	62.09	48.28	48.41
PH01000131G1060	0.78	0.48	0.4	0.32	0.45
PH01000131G1230	0.45	0.17	2.5	2.13	1.47
PH01000131G1240	0.38	0.14	0.16	0.96	0.52
PH01000131G1260	0.97	0.17	0.5	1.37	0.37
PH01000131G1390	2.66	4.76	16.67	19.54	18.59
PH01000131G1400	8.33	4.15	1.87	7.38	8.47
PH01000131G1450	1.22	0.94	1.11	1.88	1.57
PH01000131G1460	1.04	0.9	13.92	2.41	25.03
PH01000131G1570	1.29	1.43	2.52	6.72	3.82
PH01000132G0030	3.53	3.96	7.79	12.66	7.52
PH01000132G0260	0.75	0.3	0.87	0.34	2.17
PH01000132G0780	1.09	0.77	5.41	0.63	3.09
PH01000132G1020	2.47	3.43	9.34	0.28	0.72
PH01000132G1210	17.04	4.07	2.25	7.25	4.8
PH01000133G0010	3.98	3.73	4.08	5.45	9.67
PH01000133G0200	0.2	0.71	0.3	0.32	0.93
PH01000133G0260	3.05	1.95	1.58	2.76	2.68
PH01000133G0280	1.67	2.26	0.91	7.65	4.65
PH01000133G0320	6.94	5.67	4.02	4.69	13.25
PH01000133G0330	0.11	0.26	4.02	0.29	7.09
PH01000133G0340	0.15	5.43	60.56	3.55	67.76
PH01000133G0540	1.84	1.59	4.68	4.37	6.38
PH01000133G0570	1.11	1.95	2.31	1.8	5.42
PH01000133G0580	3.57	1.82	1.47	4.95	1.4
PH01000133G0730	9.31	6.13	2.52	2.57	2.21
PH01000133G0750	1.36	1.02	1.21	1	0.5
PH01000133G0880	21.21	10.02	9.44	29.32	4.58
PH01000133G0910	3.72	4.93	4.89	4.04	4.62
PH01000133G0930	4.48	7.12	3.7	5.71	4.42
PH01000133G1110	7.05	0.82	4.18	2.94	5.99
PH01000133G1150	55.76	25.21	4.3	5.49	3.73
PH01000133G1180	28.45	23.87	41.1	21.94	29.68
PH01000133G1190	3.32	2	8.2	6.45	12.64
PH01000133G1280	5.34	2.96	4.21	5.83	2.58
PH01000133G1330	5.13	2.57	2.3	3.44	2.28
PH01000133G1350	24.54	17.45	49.84	23.18	45.39
PH01000133G1360	9.08	1.81	9.18	8.17	3.32
PH01000133G1440	0.6	1.16	0.28	0.37	0.69
PH01000133G1490	0.99	2.98	1.73	1.64	1.89
PH01000133G1500	11.96	4.42	7.78	13.96	28.26
PH01000133G1510	4.87	5.15	6.21	2.2	8.36
PH01000133G1570	12.81	7.3	5.11	12.48	8.7
PH01000133G1580	9.16	18.41	64.37	39.26	74.89
PH01000133G1590	0.74	0.81	1.34	0.75	2.26
PH01000134G0110	59.33	25.33	27.72	64.57	34.69
PH01000134G0160	1.92	3.58	5.6	4.6	13.55
PH01000134G0180	0.71	1.47	2.56	2.08	5.66
PH01000134G0230	3.86	8.25	3.96	3.37	6.94
PH01000134G0410	15.73	24.53	47.05	32	39.95
PH01000134G0500	5.19	3.17	4.44	4.99	12.37
PH01000134G0600	3.34	0.97	2.05	3.12	0.36
PH01000134G0740	20.65	6.59	13.13	18.74	2.77
PH01000134G0780	3.93	5.41	2.86	7.2	2.95
PH01000134G0820	3.46	4.22	7.52	8.46	9.95
PH01000134G0870	0.39	0.6	0.96	0.31	0.19
PH01000134G0880	0.69	2.39	2.2	1.32	1.56
PH01000134G0890	3.45	4.17	3.2	2.37	2.98
PH01000134G0950	0.09	0.32	0.4	0.24	0.14
PH01000134G0970	0.57	0.5	0	0	0
PH01000134G0990	0.32	0.45	0.72	0.71	0.56
PH01000134G1030	7.46	7.04	7.09	7.95	13.94
PH01000134G1270	2.79	1.36	2.16	3	3.73
PH01000134G1300	3.15	1.62	3.8	1.47	4.42
PH01000134G1470	11.43	8.1	6.75	25.97	12.22
PH01000134G1480	3.31	1.85	4.19	1.95	5.98
PH01000134G1540	0.74	0.32	1.62	0.71	2.21
PH01000135G0040	2.8	3.13	6.43	2.86	5.64
PH01000135G0070	0.2	0.64	0.88	1.33	2.24
PH01000135G0090	0.98	0.47	0.96	0.55	1.61
PH01000135G0110	3.41	10.53	9.87	17.07	14.42
PH01000135G0260	13.25	6.34	51.12	29.53	11.27
PH01000135G0280	0.49	0.72	1.18	0.47	0.45
PH01000135G0290	1.01	1.58	1.05	2.71	2.96
PH01000135G0570	8.43	6.68	20.46	8.19	15.45
PH01000135G0620	9.49	6.39	6.42	1.08	1.11
PH01000135G0900	1.17	1.42	2.98	0.95	2.62
PH01000135G0910	1.03	0.64	1.27	0.88	2.15
PH01000135G0970	5.49	4.5	3.83	3.37	2.62
PH01000135G0980	5.33	5.47	4.41	10.45	3.29
PH01000135G1070	0.35	0.23	0.63	0.4	0.35
PH01000135G1100	0.34	0.49	1.06	0.38	0.69
PH01000135G1210	4.1	6.4	6.88	0.32	1.25
PH01000135G1340	4.17	6.32	4.34	9.41	9.16
PH01000135G1390	1.7	0.94	2.68	4.02	1.05
PH01000135G1480	463.6	102.25	27.87	75.92	3.89
PH01000135G1520	12.62	3.57	4.82	11.39	8.14
PH01000135G1590	0.69	1.05	1.13	1.07	2.65
PH01000136G0020	1.39	1.27	1.71	2.58	1.05
PH01000136G0200	3.2	4.26	1.61	3.15	1.55
PH01000136G0230	13.41	8.51	32.05	116.1	250.12
PH01000136G0240	3.86	3.81	9.99	3.4	9.8
PH01000136G0290	0.76	0.77	0.75	0.83	0.74
PH01000136G0330	4.71	1.62	4.26	2.06	6.83
PH01000136G0790	14.59	32.63	83.43	26.04	164.29
PH01000136G1320	7.29	2.67	12.43	8.94	47.05
PH01000136G1330	4.62	3.46	6.47	5.54	6.28
PH01000136G1370	0.69	2.4	0.84	1.1	1.11
PH01000136G1390	1.14	2	1.15	1.13	2.16
PH01000136G1440	0.66	2.84	3.58	4.1	1.65
PH01000136G1510	2.51	1.88	2.06	2.8	3.31
PH01000136G1530	0.26	0.9	1.13	0.74	1.57
PH01000137G0030	3.16	2.7	3.65	0.66	3.93
PH01000137G0750	1.29	0.9	1.6	1.05	2.11
PH01000138G0030	5.57	3.74	13.35	6.01	6.5
PH01000138G0070	1.97	1.8	7.09	7.84	16.67
PH01000138G0180	4.9	7.27	4.78	19.43	6.59
PH01000138G0230	8.37	7.55	18.98	4.2	25.96
PH01000138G0430	0.66	0.46	0.28	0.2	0.14
PH01000138G0440	2.09	0.74	1.82	1.43	3.37
PH01000138G0550	2.56	1.47	2.78	2.63	2.91
PH01000138G0560	2.33	3.78	4.28	2.5	1.89
PH01000138G0660	4.53	1.56	2.18	4.6	3.01
PH01000138G0690	3.97	3.11	1.48	2.97	1.27
PH01000138G1000	5.54	3.5	27.11	30.89	53.55
PH01000138G1130	5.67	4.26	2.57	2.82	1.65
PH01000138G1180	5.34	1.51	7.17	11.99	18
PH01000138G1240	0.48	2.1	6.62	5.58	7.8
PH01000138G1290	1.98	0.84	1.19	3.16	1.51
PH01000138G1300	4.79	5.17	10.64	7.63	3.32
PH01000138G1410	5.38	3.99	3.46	12.99	2.3
PH01000138G1430	6.02	7.04	9.87	10.84	2.64
PH01000138G1440	6.46	7.02	11.29	7.02	7.11
PH01000139G0010	0.14	0.11	0.19	0.1	0.82
PH01000139G0020	0.21	0.2	0.58	0.24	0.38
PH01000139G0150	3.27	3.15	1.01	7.03	1.71
PH01000139G0240	8.89	2.13	1.7	3.48	0.69
PH01000139G0410	1.49	2.25	1.92	3.12	1.91
PH01000139G0420	9.1	2.88	4.58	14.34	5.31
PH01000139G0430	36.85	36.28	45.7	42.55	20.23
PH01000139G0610	5.39	14.62	8.41	6.63	9.56
PH01000139G0690	0.24	0.65	1.34	1.51	1.6
PH01000139G0750	2.58	1.05	0.97	1.67	0.42
PH01000139G0770	9.38	16.13	24.12	8.45	20.58
PH01000139G0820	1.82	2.17	1.54	0.87	2.08
PH01000139G0840	19.83	18.22	17.78	32.95	23.36
PH01000139G0960	0.22	1.43	0.95	2.29	4.76
PH01000139G0970	1.58	2.29	1.88	0.8	3.75
PH01000139G1100	12.35	8.25	20.59	16.87	30.26
PH01000139G1200	0.19	0.1	0.1	2.04	0.07
PH01000139G1240	0.51	2.34	1.97	2.87	8.4
PH01000140G0020	17.65	10.52	16.47	9.32	19.27
PH01000140G0040	0.26	0.71	0.88	0.82	1.56
PH01000140G0100	2.39	0.77	0.97	0.89	1.05
PH01000140G0110	0.51	1.22	2.36	1.27	1.11
PH01000140G0150	32.05	12.82	9.33	21.43	0.66
PH01000140G0260	0.61	2.5	6.83	5.21	14.59
PH01000140G0280	3.51	1.39	0.88	1.89	2.97
PH01000140G0380	3.28	2.19	7.43	2.98	5.13
PH01000140G0390	12.87	4.6	3.78	11.52	3.07
PH01000140G0440	2.98	3.71	4.55	5.66	4.9
PH01000140G0450	11.33	4.78	10.52	7.39	19.06
PH01000140G0490	1.8	1.41	2.14	1.11	11.17
PH01000140G0500	11.75	4.28	6.48	8.73	6.48
PH01000140G0530	5	3.79	4.23	6.32	9.34
PH01000140G0540	20.5	5.2	4.27	9.11	20.16
PH01000140G0550	2.96	1.6	0.98	2.34	3.21
PH01000140G0560	28.42	9.19	34.54	39.35	36.08
PH01000140G0580	1.67	3.48	18.53	5.31	22.75
PH01000140G0680	12.3	2.06	4.54	18.47	9.58
PH01000140G0840	0.76	0.38	0.52	0.5	1.26
PH01000140G0870	0.77	0.92	0.85	1.16	1.78
PH01000140G0940	7.9	7.7	12.8	8.61	20.41
PH01000140G0960	6.51	6.56	2.02	5.83	3.93
PH01000140G1000	2.02	1	2.96	3.35	7.53
PH01000140G1010	0.46	1.3	2.1	3.55	4.9
PH01000140G1020	13.72	16.52	12.86	14.71	20.38
PH01000140G1040	3.32	4.12	7.63	2.01	7.34
PH01000140G1080	16.8	7.51	27.72	18.19	12.97
PH01000140G1100	9.9	6.68	5.56	8.3	7.15
PH01000140G1120	0.98	0.96	3.36	11.95	10.98
PH01000140G1140	20.21	10.46	30.5	13.56	20.05
PH01000140G1150	6.87	10.51	4.51	12.03	13.77
PH01000140G1180	0.19	0.19	0.37	0.34	0.54
PH01000140G1280	19.52	12	42.59	8.35	45.04
PH01000140G1330	6.97	8.1	2.11	5.7	3.89
PH01000140G1390	6.62	12.63	5.11	6.25	15.38
PH01000140G1400	2.94	1.62	2.43	2.68	2.22
PH01000140G1440	0.77	0.21	1.52	1.23	6.84
PH01000141G0020	0.6	0.27	0.4	0.31	0.23
PH01000141G0030	32.32	12.63	20.02	19.62	71.31
PH01000141G0120	62.3	53.47	20.46	60.22	13.22
PH01000141G0190	5.67	3.24	2.34	1.44	4.43
PH01000141G0210	0.81	1.88	1.56	3.18	2.93
PH01000141G0290	1.41	1.08	1.04	1	2.09
PH01000141G0380	1.47	1.34	0.9	2.18	3.29
PH01000141G0450	2.17	8.55	16.79	25.17	19.23
PH01000141G0510	4.77	3.06	5.8	13.88	15.57
PH01000141G0660	33.81	19.45	9.79	40.81	11.76
PH01000141G0710	2.99	2.38	2.25	7.27	5.38
PH01000141G0810	0.81	0.61	0.43	0.65	0.29
PH01000141G0850	4.36	7.81	11.59	6.93	8.59
PH01000141G0870	0.73	0.91	2.4	1.89	3.44
PH01000141G0910	1.26	0.83	4.74	1.39	1.33
PH01000141G0920	1.48	1.25	0.98	1.77	0.53
PH01000141G0940	22.55	13.7	9.32	11.43	4.42
PH01000141G0970	2.21	0.95	3.56	1.45	1.42
PH01000141G1130	0.3	0.19	0.09	1.03	3.75
PH01000141G1140	2.8	4.14	3.41	4.13	3.06
PH01000141G1150	6.47	7.44	1.97	6.79	5.03
PH01000141G1200	2.86	3.36	3.06	7.81	14.91
PH01000141G1210	9.14	4.53	4.43	7.97	43.84
PH01000141G1320	1.43	0.35	2.23	0.43	4.43
PH01000141G1400	4.09	1.96	3	3.07	0.74
PH01000141G1520	1.25	0.58	0	0.12	0.34
PH01000142G0060	3.73	4.58	4.4	6.94	12.87
PH01000142G0150	1.64	1.27	3.97	1.82	3.7
PH01000142G0190	0.81	0.73	2.24	2.17	1.13
PH01000142G0200	2.66	0.69	2.87	3.66	5.25
PH01000142G0230	0.11	0.21	1.39	0	0
PH01000142G0270	0.81	2.36	3.11	1.81	7.45
PH01000142G0380	3.29	3.45	6.41	1.99	1.29
PH01000142G0430	3.98	1.27	1	1.13	0.3
PH01000142G0440	3.68	2.4	0.13	11.19	0.92
PH01000142G0470	1.02	3.16	3.44	5.17	9.23
PH01000142G0490	5.69	8.42	60.85	51	468.36
PH01000142G0500	17.37	9.7	11.43	49	12.65
PH01000142G0520	2.69	2.9	2.92	7.84	0.58
PH01000142G0590	7.2	4.28	3.15	15.64	2.43
PH01000142G0600	2.93	2.05	0.67	1.61	0.39
PH01000142G0610	2.81	3.76	1.88	3.84	2.77
PH01000142G0620	0.85	1.41	1.16	1.34	3.45
PH01000142G0730	0.47	0.87	1.56	0.1	0.15
PH01000142G0790	4.21	3.85	6.09	5.5	7.33
PH01000142G0800	77.92	66.72	41.23	54.92	174.98
PH01000142G0870	4	4.51	1.35	3.15	4.22
PH01000142G0910	10.2	7.19	10.41	7.08	11.17
PH01000142G1080	5.62	4.29	1.9	2.48	3.02
PH01000142G1350	10.08	12.93	10.07	6.37	8.67
PH01000142G1490	5.11	5.09	3.59	5.69	2.9
PH01000142G1570	3.14	1.19	2.63	3.2	2.51
PH01000143G0040	13.73	6.61	11.05	16.19	18.44
PH01000143G0080	2.57	2.73	4.07	4.18	8.25
PH01000143G0210	4.29	0.83	2.43	1.78	5.35
PH01000143G0390	1.3	1.59	1.28	1.97	2.31
PH01000143G0500	6.05	1.89	1.78	4.42	0.27
PH01000143G0710	1.19	0.71	1.11	0.88	1.92
PH01000143G0730	88.88	77.12	49.47	31.06	6.86
PH01000143G0830	6.3	4.04	7.36	5.4	6.72
PH01000143G0910	3.12	3.63	4.87	3.9	7.06
PH01000143G1300	2.2	2.81	21.84	6.36	25.36
PH01000143G1390	6.2	8.07	15.34	2.85	1.33
PH01000143G1400	2.83	6.06	11.58	9.29	2.18
PH01000143G1410	7.55	5.74	0.9	15.93	11.78
PH01000143G1420	7.61	5.3	2.01	4.28	3.2
PH01000143G1540	3.17	1.23	0.62	2.77	0.49
PH01000143G1560	2.03	1.99	1.93	2.03	2.06
PH01000143G1570	0.1	0.4	0.68	0.17	0.32
PH01000143G1580	1.86	5.4	5.72	3.28	7.71
PH01000143G1590	1.37	0.39	1.31	0.35	0.82
PH01000143G1600	1.01	1.52	1.13	0.13	0.18
PH01000143G1620	0.37	0.12	0.1	0.79	0.56
PH01000144G0260	0.19	0.08	0.41	3.24	2.25
PH01000144G0280	13.08	12.41	11.19	6.3	9.3
PH01000144G0480	1.02	0.61	3.15	4.3	0.1
PH01000144G0520	0.21	0.65	0.72	0	0.3
PH01000144G0700	50.41	12.32	11.11	24.56	14.03
PH01000144G0760	35.21	25.11	55.68	23.79	23.45
PH01000144G0920	16.14	12.78	9.92	6.91	10.06
PH01000144G1010	1.22	2.95	20.34	5.43	1.12
PH01000144G1050	5.31	2.58	0.92	7.35	1.5
PH01000144G1200	6.74	11.21	8.71	8.17	11.99
PH01000144G1220	1.01	0.99	4.41	1.75	1.65
PH01000144G1230	1.03	2.4	2.49	0.23	1.6
PH01000144G1240	0.19	0.12	0.31	0.1	0.55
PH01000144G1250	13.37	11.36	20.69	8.52	5.21
PH01000144G1350	5.31	1.57	3.77	2.56	5.45
PH01000144G1380	116.05	67.99	47.44	55.96	46
PH01000144G1390	1.95	1.53	1.09	1.52	1.12
PH01000144G1400	12.03	9.07	7.67	2.06	20.75
PH01000144G1410	5.68	9.5	12.64	7.99	23.62
PH01000144G1430	1.15	0.73	0.42	0.23	0.37
PH01000144G1450	11.58	5.01	3.29	8.5	2.45
PH01000144G1500	0.14	0.21	0.55	0.29	3.39
PH01000144G1510	0.98	2.48	1.69	0.41	0.72
PH01000144G1560	3.62	5.44	1.45	1.07	3.83
PH01000144G1570	7.88	4.22	4.08	3.21	1.52
PH01000144G1610	0.34	0.39	0.61	1.49	0.77
PH01000144G1620	1.09	1.25	2.07	1.52	1.07
PH01000145G0040	27.24	29.5	72.01	43.23	117.97
PH01000145G0050	0.52	0.91	0.45	0.46	1.09
PH01000145G0060	0.67	0.91	0.93	1.53	0.44
PH01000145G0070	12.45	15.36	11.26	46.6	31.76
PH01000145G0150	38.37	21.85	6.53	27.52	6.6
PH01000145G0260	1.91	2.19	1.46	1.12	3.69
PH01000145G0340	26.02	21.08	95.35	56.43	32.93
PH01000145G0490	31.53	10.48	22.5	23.32	13.31
PH01000145G0500	3.44	2.96	8.07	4.87	12.38
PH01000145G0510	0.53	1.72	0.68	1.24	0.84
PH01000145G0550	3.7	1.63	3.46	1.17	4.6
PH01000145G0560	2.78	1.62	2.7	1.8	4.07
PH01000145G0570	10.76	2.63	3.74	2.29	8.17
PH01000145G0580	3.6	3.28	7.24	3.67	1.46
PH01000145G0660	3.26	2.91	2.52	2.19	2.69
PH01000145G0740	4.5	1.96	3.71	4.52	1.51
PH01000145G0810	0.75	0.69	0.89	0.48	0.63
PH01000145G0830	2.17	5.28	12.65	5.65	7.46
PH01000145G0840	2.9	5.62	8.91	7.82	9.02
PH01000145G0860	13.89	6.02	2.77	5.3	0.41
PH01000145G0870	3.74	2.19	1.6	3.37	1.52
PH01000145G0880	1.04	1.24	1.31	0.39	0.5
PH01000145G0910	1.41	1.03	0.6	0.67	0.74
PH01000145G0920	1.5	1.02	0.41	0.88	0.55
PH01000145G1020	12.32	13.36	19.74	12.27	3.68
PH01000145G1120	0.58	1.1	1.46	1.42	1.12
PH01000145G1150	2.8	2.53	6.39	7.77	10.79
PH01000145G1200	8.11	2.63	5.58	2.05	4.73
PH01000145G1240	8.86	24.42	58.04	27.31	49.08
PH01000145G1320	0.79	1.67	2.12	1.94	1.72
PH01000145G1350	14.74	8.08	4.76	8.32	0.29
PH01000145G1360	2.14	1.34	0.71	2.05	1.37
PH01000145G1450	0.65	0.43	0.77	0.37	0.32
PH01000145G1540	1.18	0.75	1.67	0.82	1.37
PH01000146G0310	4.89	5.03	11.46	4.63	4.59
PH01000146G0350	2.81	2.81	3.7	4.36	6.2
PH01000146G0540	2.5	6.55	8.6	5.84	5.16
PH01000146G0640	5.08	12.41	15.9	8.15	11.76
PH01000146G0750	4.7	1.5	0.99	4.03	1.75
PH01000146G0870	3.01	1.58	0.97	5.18	4.71
PH01000146G0880	1.19	2.75	2.06	1.32	1.63
PH01000146G1040	4.69	3.87	1.45	1.5	1.73
PH01000146G1150	0.36	0.3	1.42	0.34	0.15
PH01000146G1260	18.56	23.88	11.59	16.36	18.15
PH01000146G1270	0.29	0.57	0.87	0.6	0.58
PH01000146G1280	0.84	0.85	1.8	0.17	0.37
PH01000147G0010	2.29	3.02	12.77	1.22	9.3
PH01000147G0060	0.15	0.17	0.46	0.23	0.38
PH01000147G0080	4.11	3.21	4.4	4.73	3.65
PH01000147G0110	2.87	2.61	4.81	4.68	1.19
PH01000147G0200	0.44	0.56	0.75	0.35	0.67
PH01000147G0590	1.4	2.54	1.6	1.76	0.13
PH01000147G0600	9.8	5.28	5.71	2.49	3.16
PH01000147G1100	2.76	0.64	1.08	0.64	0.51
PH01000147G1210	2.27	2.47	3.44	2.25	10.42
PH01000147G1310	1.61	0.74	0.66	1.57	1.9
PH01000147G1350	4.1	4.77	12.52	2.42	2.42
PH01000147G1500	21.71	51.5	229.25	152.61	963.61
